Reward,No cash trade,No stock trade,Net worth end game
-1136.551124572754,203,26,213.44887542724607
-1235.1326484680176,0,246,199.86735153198242
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,251,200.0
