Reward,No cash trade,No stock trade
16.67174911499029,3,6
20.561523437499943,14,1
16.86540603637698,78,1
29.050823211669893,47,13
30.328834533691406,55,1
9.640129089355469,27,36
25.276763916015625,42,29
35.41684341430664,3,16
11.887248992919922,11,34
17.05012512207034,3,12
8.700733184814453,7,9
15.073432922363281,3,2
22.816822052001925,15,1
26.64911651611328,3,17
18.523178100585938,0,0
11.705635070800781,1,20
35.38116073608401,38,10
27.943748474121094,85,1
34.48545455932623,15,10
30.418731689453125,18,17
31.96392822265625,9,0
16.392276763915987,2,20
28.41844940185547,10,0
31.999778747558622,86,0
30.62974929809573,66,0
42.08574676513666,60,7
18.10842514038086,76,0
36.88985061645511,4,9
24.652511596679688,53,0
6.261474609375,23,3
34.897178649902315,10,16
30.282062530517607,14,0
37.46282196044919,64,0
38.18393707275385,86,1
27.815391540527344,62,0
13.256656646728516,6,5
22.820152282714815,12,7
32.19279479980466,37,12
41.19395446777338,94,0
25.73631286621091,109,1
28.044837951660156,46,0
14.101829528808622,22,9
24.77190017700198,52,3
8.376476287841825,44,28
46.01305389404297,8,21
27.88473892211914,112,0
38.08439636230469,86,0
22.4105224609375,55,0
20.447067260742188,15,13
29.188446044921875,10,0
32.6429443359375,73,0
34.22177505493164,27,0
29.265438079833984,25,0
34.95453262329107,120,0
15.119842529296875,28,7
16.75188446044919,60,22
9.0514945983887,9,23
23.555984497070284,55,22
26.25033187866211,32,0
25.11164474487302,7,30
20.32845687866208,43,3
28.252967834472685,65,1
21.081768035888672,13,42
11.338451385498047,52,0
22.63591766357422,11,25
26.807315826416044,47,0
17.61370849609375,22,24
36.4324645996094,100,0
27.834800720214815,115,0
39.59219741821289,71,1
18.618984222412195,74,4
34.72656631469732,18,28
31.402889251708984,73,1
22.143611907958984,38,0
23.814743041992188,11,2
35.60784912109372,42,0
26.83295822143549,103,0
28.528118133544922,29,3
23.176433563232422,50,0
28.532588958740234,67,1
27.828155517578097,43,1
23.422916412353516,17,0
39.08522415161133,12,1
10.636390686035156,23,12
21.822647094726506,69,8
32.96146774291992,38,0
40.533668518066406,30,0
30.08971405029297,54,0
37.36927032470703,34,1
20.619739532470703,24,0
26.352436065673857,10,8
19.740032196044865,65,35
27.761325836181584,55,14
35.40838623046875,20,1
23.93929672241208,87,1
36.635799407958984,61,0
25.49515151977539,20,41
18.995487213134737,116,9
26.67218780517581,126,0
25.83243179321292,124,0
27.261070251464844,80,0
40.2020263671875,80,0
20.088970184326172,82,0
24.228214263916072,71,1
18.017066955566378,41,0
26.99764633178708,68,1
26.42899703979495,62,0
26.57046127319336,41,0
26.266445159912138,45,0
34.283775329589844,79,0
27.01000213623047,81,3
27.920997619628935,35,0
13.739738464355497,14,26
36.1400146484375,99,1
27.929512023925724,65,1
36.28207015991208,13,4
22.003440856933594,47,1
22.327449798583984,46,1
22.416904449462862,34,1
29.050750732421875,93,0
27.2232856750488,96,0
24.725482940673828,72,0
20.98702621459958,118,0
23.70987319946289,23,41
31.400238037109375,27,3
24.335929870605497,120,0
49.227359771728544,48,0
32.03874969482425,128,0
25.877071380615206,79,0
19.94414520263672,22,0
10.150798797607365,10,13
7.351161956787109,19,3
23.1382865905762,73,0
24.99028015136716,15,1
36.12477493286133,63,0
30.903255462646484,27,0
28.465560913085938,69,1
22.899204254150334,106,0
23.823036193847656,85,0
25.819889068603487,103,0
26.42776870727539,68,1
38.28287887573242,37,0
36.204788208007756,116,0
30.684925079345703,87,0
28.708213806152315,90,0
24.635700225830078,69,1
24.173080444335938,27,9
27.701393127441406,84,0
25.499404907226506,85,0
34.8051643371582,72,0
33.27845382690424,50,0
36.60882568359375,97,0
27.404747009277344,114,0
26.345428466796875,44,0
26.25076675415039,96,0
41.01620101928714,29,5
17.570186614990206,67,0
20.931922912597713,107,4
28.11614227294919,90,0
26.64059066772461,76,0
24.461421966552734,76,0
26.738670349121094,59,1
36.2221984863281,86,0
33.47057723999015,26,1
25.760791778564425,90,2
17.020191192626953,37,7
39.80021667480466,46,27
24.925994873046875,115,0
37.524429321289034,110,0
25.32923507690427,77,1
38.807456970214844,101,0
28.512130737304688,160,0
28.562885284423828,103,0
27.383804321289034,131,0
31.482166290283175,60,1
39.58964157104489,108,0
28.360855102539034,138,0
38.06755447387698,96,0
29.208362579345703,123,0
40.561702728271484,42,0
38.500518798828125,106,2
23.489227294921875,89,0
22.315200805664062,123,2
22.451454162597685,59,11
33.0037841796875,108,0
26.02637481689453,92,0
29.950122833251953,88,2
39.42406463623047,40,0
33.88865280151367,100,0
30.730026245117188,148,0
22.444705963134766,81,0
37.6725120544433,34,0
23.117191314697266,62,4
12.597888946533232,107,5
35.20501327514651,150,0
12.843696594238253,101,1
24.967735290527344,123,0
37.58731460571289,37,0
44.26322555541992,25,0
38.15338897705078,82,1
27.09362030029297,71,0
29.32410430908203,84,0
20.910266876220675,52,2
23.89238739013672,16,0
42.053165435791044,49,0
36.820945739746065,147,0
28.97404861450198,78,0
37.01375961303714,22,0
26.49593734741211,48,0
30.027839660644474,83,0
23.570758819580078,131,0
41.55605697631839,35,0
37.61369323730466,72,0
29.726261138916016,135,0
37.77579116821289,55,0
22.271507263183594,59,5
32.718338012695284,44,1
39.37668609619138,35,18
39.23949050903323,75,7
20.375148773193388,119,0
38.251033782958984,145,0
32.888797760009766,100,0
51.42353057861331,40,18
46.45027542114252,46,16
25.82366943359372,25,0
44.15601730346677,88,26
43.90748596191406,98,30
36.72323226928711,69,34
42.92306900024414,15,16
46.57594680786136,53,3
37.21012878417969,122,0
24.37020492553711,88,1
28.901695251464872,126,2
30.464572906494084,76,0
32.90263366699216,97,0
38.487361907958956,108,0
38.41981124877924,136,0
39.263851165771484,125,0
20.332454681396428,98,0
33.726619720458984,20,8
28.39404296875,36,2
37.43802261352542,6,1
43.33773422241208,112,20
23.790382385253906,149,4
16.56391525268552,20,21
10.985584259033203,5,8
26.443778991699162,110,0
21.901432037353516,42,0
36.58752059936529,42,0
36.3798828125,76,1
37.37413406372073,89,0
36.44101715087896,127,0
29.177730560302763,117,0
27.414176940917997,98,1
22.079116821289062,55,0
39.98503875732422,30,3
28.4072265625,98,0
29.248329162597656,9,16
40.562931060791044,20,51
39.52356719970703,52,40
38.212821960449276,75,0
27.8515243530274,91,0
36.322494506835966,142,2
38.75949478149417,153,0
27.506004333496094,160,0
41.86254119873047,57,43
33.397335052490234,63,0
41.40895080566409,36,7
35.48503112792969,116,0
40.616050720214815,101,1
43.69821548461911,15,23
19.539947509765568,105,6
37.6895370483399,60,0
38.87165069580075,68,0
27.29819107055664,140,0
37.814064025878906,114,0
32.61337661743167,151,1
37.36593627929685,126,0
36.8046760559082,90,7
36.353553771972685,103,0
31.77947998046872,145,0
26.634113311767578,100,0
23.50753402709958,66,1
39.14218521118164,48,0
51.215328216552734,54,10
47.98507690429685,74,4
33.89743041992185,135,0
36.69893264770505,156,0
18.089733123779297,81,26
26.245410919189453,70,1
42.34170150756836,15,71
40.523128509521484,68,48
37.33588790893555,121,0
40.56196212768555,66,24
38.51569747924805,82,11
23.322643280029297,97,7
34.229164123535156,83,13
38.44078063964844,9,57
23.090904235839844,27,40
38.73011779785159,35,2
26.67410659790039,101,1
27.431396484375,64,10
17.716567993164062,24,36
44.34904098510739,43,35
28.14240646362302,53,25
19.39807891845703,5,0
14.617408752441406,105,13
24.83197021484375,123,1
36.58638000488284,35,10
38.840938568115234,136,0
27.462680816650362,166,0
29.228191375732393,104,0
31.84661865234375,153,1
28.999256134033146,125,1
15.291019439697266,108,0
26.034412384033203,8,24
41.31055068969724,84,7
26.4936332702637,105,0
47.452987670898494,6,48
34.08963394165036,53,21
22.59949493408206,34,2
24.05227279663086,38,2
28.993698120117188,12,34
41.89120864868164,20,32
19.02981948852539,11,89
28.182071685790987,109,0
29.65960693359375,75,0
36.517642974853544,132,0
36.769699096679716,88,0
45.97960281372073,99,13
26.399482727050724,159,0
35.43569183349612,140,0
38.82264328002924,51,20
42.49327850341794,135,6
