Reward,No cash trade,No stock trade,Net worth end game
-383.66738510131836,23,5,211.33261489868164
-280.6434211730957,7,5,229.3565788269043
-166.68467330932614,8,3,238.31532669067386
-257.7345542907715,10,1,222.26544570922852
-264.06182861328125,5,8,215.93817138671875
-218.24113464355477,2,0,226.75886535644523
-206.14805221557614,5,3,213.85194778442386
-281.8324661254883,9,2,223.16753387451172
-189.55201721191406,3,1,230.44798278808594
-229.4623260498047,10,1,235.5376739501953
-230.22345352172854,3,0,214.77654647827146
-234.3139228820801,6,1,225.6860771179199
-272.2762985229492,4,3,222.72370147705078
-279.96559143066395,9,3,215.034408569336
-221.63358306884766,4,3,223.36641693115234
-178.88234329223636,5,1,221.11765670776364
-212.60946655273438,6,0,227.39053344726562
-200.28158950805664,3,1,219.71841049194336
-202.015682220459,7,1,227.984317779541
-244.27059173583984,3,2,225.72940826416016
-230.12728881835935,3,1,204.87271118164065
-251.64965820312503,3,0,213.35034179687497
-258.9562873840332,2,3,201.0437126159668
-245.6453552246094,4,1,219.3546447753906
-220.67906951904297,4,2,209.32093048095703
-212.27484893798828,7,1,217.72515106201172
-184.20439910888672,3,0,220.79560089111328
-193.84796905517584,6,0,221.15203094482416
-242.57799911499026,3,0,237.42200088500974
-223.45776367187503,10,2,231.54223632812497
-194.14387893676758,3,2,215.85612106323242
-215.88836288452148,2,2,219.11163711547852
-193.87596130371094,5,3,231.12403869628906
-212.4835433959961,5,0,217.5164566040039
-167.6694602966309,3,5,237.3305397033691
-220.2014083862305,4,3,214.7985916137695
-186.07823181152344,6,0,213.92176818847656
-210.84507751464844,3,1,214.15492248535156
-253.15220260620114,6,1,221.84779739379886
-231.87687683105474,12,3,223.12312316894526
-148.51182937622065,5,1,231.48817062377935
-263.0553665161133,19,1,221.94463348388666
-174.61893463134766,3,2,235.38106536865234
-222.58025360107422,11,3,222.41974639892578
-201.36922836303714,7,4,218.63077163696286
-284.2989501953125,13,2,220.7010498046875
-282.214054107666,12,3,217.785945892334
-218.20925140380865,11,0,226.79074859619135
-176.02038192749012,2,0,238.97961807250988
-214.0919494628906,9,0,220.9080505371094
-253.91021728515625,17,4,221.08978271484375
-221.25743103027344,13,0,223.74256896972656
-202.2159996032715,6,0,232.7840003967285
-176.0296325683594,2,0,213.9703674316406
-156.30649185180667,3,1,228.69350814819333
-248.6284713745117,13,0,226.3715286254883
-218.11561965942383,10,0,221.88438034057617
-197.04371261596677,5,0,217.95628738403323
-209.9953994750977,5,1,220.0046005249023
-237.75659179687494,9,0,227.24340820312506
-226.11059570312497,11,2,213.88940429687503
-209.0810852050781,10,0,220.9189147949219
-220.31481933593747,9,0,229.68518066406253
-223.08440399169925,13,1,221.91559600830075
-203.14649581909183,8,0,231.85350418090817
-264.3516273498535,8,0,225.64837265014648
-262.35163497924805,11,0,222.64836502075195
-237.5893859863281,4,0,217.4106140136719
-266.64742279052734,10,0,238.35257720947266
-218.53997039794913,11,0,216.46002960205087
-189.89638900756842,6,2,220.10361099243158
-222.43284988403317,8,1,227.56715011596683
-276.5184669494629,10,0,223.48153305053714
-224.2643661499023,8,0,215.7356338500977
-215.3600845336914,9,0,214.6399154663086
-273.226318359375,12,0,216.773681640625
-240.9106140136719,6,0,219.0893859863281
-194.02853012084964,10,0,220.97146987915036
-280.75415420532227,10,1,229.24584579467768
-168.76012802124023,10,0,231.23987197875977
-227.2740135192871,8,0,237.7259864807129
-229.059799194336,10,1,215.940200805664
-298.89091873168945,20,2,226.1090812683106
-240.33951950073237,13,2,214.66048049926763
-199.925064086914,5,0,230.074935913086
-192.7734756469727,2,2,227.2265243530273
-233.06083297729492,13,1,226.93916702270508
-217.81317138671875,10,0,222.18682861328125
-164.3205528259277,8,0,220.6794471740723
-133.53009796142575,2,0,211.46990203857425
-249.76996994018555,12,3,225.23003005981445
-283.1601333618164,14,4,226.8398666381836
-224.32765579223633,15,1,225.67234420776367
-186.39617156982422,1,2,218.60382843017578
-277.02291870117176,17,0,222.97708129882818
-244.39519500732425,11,0,220.60480499267575
-269.4823226928711,18,1,220.51767730712888
-181.38366317749023,1,1,213.61633682250977
-175.37546539306646,7,0,224.62453460693354
-221.90551757812494,8,0,243.09448242187506
-234.82258224487305,11,0,215.17741775512695
-233.59788894653326,10,0,231.40211105346674
-230.81158828735346,12,1,229.18841171264654
-185.51351547241208,8,1,224.48648452758792
-231.3116111755371,11,0,228.6883888244629
-206.00433731079102,12,0,223.99566268920898
-238.9465293884278,6,0,226.0534706115722
-216.90563964843756,6,1,218.09436035156244
-172.4080352783203,10,0,227.5919647216797
-184.7544364929199,2,1,220.2455635070801
-190.78160858154297,10,1,219.21839141845703
-228.356803894043,3,2,221.643196105957
-213.18688964843756,7,0,226.81311035156244
-197.20730209350586,4,1,207.79269790649414
-269.7970962524414,9,0,215.20290374755857
-216.86204528808594,8,1,218.13795471191406
-262.8530158996582,16,0,227.14698410034177
-221.38318634033206,10,0,223.61681365966794
-234.1415977478027,4,1,230.8584022521973
-175.77257537841797,3,0,214.22742462158203
-222.3994827270508,11,0,232.6005172729492
-177.68417358398438,5,0,222.31582641601562
-148.42299652099607,8,0,226.57700347900393
-143.49918365478518,2,0,236.50081634521482
-200.11561965942388,14,0,219.88438034057612
-230.9333953857422,10,1,229.0666046142578
-252.07289505004886,17,0,222.92710494995114
-226.36275482177734,6,1,223.63724517822266
-198.25149154663086,14,0,226.74850845336914
-175.47695922851562,5,1,209.52304077148438
-209.89573287963867,2,0,220.10426712036133
-156.0221939086914,1,0,218.9778060913086
-188.0390281677246,4,1,221.9609718322754
-138.64057540893555,1,0,221.35942459106445
-192.40049743652344,5,0,232.59950256347656
-215.61977386474607,10,0,224.38022613525393
-244.66175079345706,14,0,225.33824920654294
-187.68603897094727,10,0,227.31396102905273
-224.96166992187503,9,0,230.03833007812497
-234.5793609619141,7,3,225.4206390380859
-166.06269454956055,6,0,233.93730545043945
-177.32637786865232,5,2,217.67362213134768
-170.41374588012695,2,1,219.58625411987305
-124.55841827392575,7,0,230.44158172607425
-198.50405120849612,10,0,226.49594879150388
-173.63274002075198,4,0,221.36725997924802
-188.0663795471192,10,1,221.9336204528808
-196.7195014953613,8,1,233.2804985046387
-160.22617721557612,5,4,239.77382278442388
-178.9907646179199,2,0,226.0092353820801
-172.39941024780276,5,1,232.60058975219724
-190.77204895019528,5,1,214.22795104980472
-193.47773361206052,15,1,226.52226638793948
-185.6759834289551,6,0,234.3240165710449
-216.73297500610352,6,0,233.26702499389648
-198.43722915649414,10,1,221.56277084350586
-152.99746322631833,6,0,237.00253677368167
-199.81934356689456,9,0,225.18065643310544
-159.27480316162115,8,0,220.72519683837885
-193.82149887084964,14,0,231.17850112915036
-180.65652084350586,6,0,229.34347915649414
-212.57650756835946,10,0,222.42349243164054
-129.47698974609375,0,1,215.52301025390625
-192.0720176696778,7,0,227.9279823303222
-264.08704376220703,15,0,230.91295623779294
-178.7723808288574,5,0,231.2276191711426
-203.0408172607422,10,0,221.9591827392578
-158.15142440795896,10,0,216.84857559204104
-204.70897674560547,12,0,225.29102325439453
-202.48313140869143,6,0,227.51686859130857
-196.53950119018555,6,1,223.46049880981445
-152.71194458007812,5,2,212.28805541992188
-218.26380538940424,15,0,226.73619461059576
-142.8094940185547,6,0,222.1905059814453
-196.75599288940433,4,0,218.24400711059567
-216.0168037414551,13,0,223.9831962585449
-211.71212387084964,14,0,243.28787612915036
-202.85755157470703,13,0,227.14244842529297
-146.14829635620117,4,0,228.85170364379883
-192.07250595092773,4,0,227.92749404907227
-240.86444091796875,12,4,219.13555908203125
-212.94657135009768,6,2,217.05342864990232
-185.670051574707,8,0,219.329948425293
-198.4343719482423,17,0,246.5656280517577
-252.36499404907224,17,0,227.63500595092776
-163.12643051147458,3,0,231.87356948852542
-227.35252380371094,16,2,237.64747619628906
-202.2871971130371,9,0,227.7128028869629
-163.15642547607413,7,0,236.84357452392587
-301.7808036804199,21,0,223.21919631958008
-131.5344047546386,3,0,233.4655952453614
-196.58035278320318,1,3,208.41964721679682
-250.31043624877933,17,0,219.68956375122067
-215.83042526245112,15,0,229.16957473754888
-199.37411499023435,7,0,220.62588500976565
-220.31874084472653,15,0,234.68125915527347
-217.47533798217773,10,1,222.52466201782227
-224.17535781860352,19,0,225.82464218139648
-252.3621292114258,13,3,222.6378707885742
-288.71501541137695,23,0,226.28498458862305
-181.22153854370117,13,1,223.77846145629883
-241.71603393554688,7,1,228.28396606445312
-187.69187545776367,9,0,222.30812454223633
-78.39390563964838,4,0,236.60609436035162
-158.69349670410156,10,1,236.30650329589844
-178.42853546142575,11,0,216.57146453857425
-166.5137634277344,12,0,228.4862365722656
-177.93693161010742,3,0,227.06306838989258
-214.68278121948242,9,1,240.31721878051758
-229.93417739868167,12,0,230.06582260131833
-195.61353683471683,4,3,234.38646316528317
-191.58906555175784,7,0,223.41093444824216
-161.68096160888672,0,1,218.31903839111328
-200.65052032470703,8,0,229.34947967529297
-182.56000900268558,14,0,242.43999099731442
-222.6428985595703,12,0,222.3571014404297
-201.05796432495114,3,0,223.94203567504886
-215.77835845947266,11,0,224.22164154052734
-107.84338760375977,3,0,227.15661239624023
-127.57820892333987,4,0,232.42179107666013
-170.1301689147949,6,0,219.8698310852051
-223.01078033447263,14,0,236.98921966552737
-180.3345947265625,7,0,224.6654052734375
-137.93002319335935,5,1,237.06997680664065
-173.56145095825195,11,1,226.43854904174805
-171.7785568237305,10,0,233.2214431762695
-181.625617980957,11,1,233.374382019043
-225.8511962890625,18,1,229.1488037109375
-151.37582015991208,5,0,228.62417984008792
-180.4018745422363,9,0,219.5981254577637
-181.7712173461914,20,0,223.2287826538086
-163.45710372924808,10,0,221.54289627075192
-191.390754699707,12,0,223.609245300293
-118.9785461425781,5,0,221.0214538574219
-114.42393112182623,5,0,240.57606887817377
-178.25747299194333,8,0,206.74252700805667
-191.87760543823245,1,4,223.12239456176755
-225.5799636840821,8,0,224.4200363159179
-182.36100387573242,8,0,232.63899612426758
-181.21202850341797,10,0,218.78797149658203
-153.36201095581055,3,1,216.63798904418945
-157.81929016113284,8,0,227.18070983886716
-226.65031814575195,16,0,228.34968185424805
-197.18371200561523,6,3,207.81628799438477
-180.6212730407715,8,1,204.3787269592285
-105.34360122680664,2,0,229.65639877319336
-190.98793411254883,8,1,229.01206588745117
-87.50595474243161,3,0,237.4940452575684
-176.22495269775388,10,0,223.77504730224612
-187.47106170654303,14,0,227.52893829345697
-207.3239135742187,12,0,222.6760864257813
-211.41039657592776,12,1,228.58960342407224
-194.60007476806635,10,0,225.39992523193365
-156.49855804443357,7,0,218.50144195556643
-214.52794647216794,8,0,215.47205352783206
-141.7518997192383,3,1,238.2481002807617
-228.7781753540039,16,1,211.2218246459961
-238.30141067504886,16,0,221.69858932495114
-263.67133712768555,15,1,216.32866287231445
-134.20278549194336,6,2,230.79721450805664
-177.34591674804685,9,0,232.65408325195315
-194.3054656982422,5,0,220.6945343017578
-209.47017669677732,12,2,215.52982330322268
-213.49837112426758,4,2,211.50162887573242
-191.15900421142578,9,0,213.84099578857422
-195.2924575805664,7,0,224.7075424194336
-210.8199195861816,21,0,229.1800804138184
-163.12723159790048,11,0,226.87276840209952
-170.1288986206055,8,0,214.8711013793945
-168.1412506103516,10,0,231.8587493896484
-252.1743125915527,17,0,227.8256874084473
-182.28733062744143,8,0,222.71266937255857
-184.93357849121097,12,0,225.06642150878903
-169.03448104858398,8,2,220.96551895141602
-173.01675415039062,6,1,226.98324584960938
-98.53596496582031,0,2,216.4640350341797
-163.98975372314456,8,0,226.01024627685544
-193.56076049804688,11,0,221.43923950195312
-98.06211090087893,4,0,226.93788909912107
-205.77964401245117,7,1,229.22035598754883
-192.71533584594727,7,0,232.28466415405273
-151.7361755371094,6,1,233.2638244628906
-142.2040786743164,0,1,222.7959213256836
-117.57535934448242,5,0,212.42464065551758
-208.58317184448242,13,0,231.41682815551758
-258.24442291259766,13,0,221.75557708740234
-143.69535446166995,6,2,236.30464553833005
-127.8735122680664,0,1,232.1264877319336
-194.66719436645508,14,0,235.33280563354492
-107.02333450317374,7,0,232.97666549682626
-95.54780960083008,4,0,239.45219039916992
-137.8668022155762,1,1,237.1331977844238
-166.60282897949216,4,1,238.39717102050784
-149.35524368286133,12,1,235.64475631713867
-120.31789016723627,6,0,234.68210983276373
-119.35935974121097,2,3,235.64064025878903
-145.09564590454102,6,0,229.90435409545898
-163.49489974975583,8,2,231.50510025024417
-144.93675231933594,3,0,240.06324768066406
-124.9717903137207,4,0,230.0282096862793
-187.64893722534177,8,0,237.35106277465823
-141.36281967163092,3,0,228.63718032836908
-157.38605117797857,7,0,232.61394882202143
-151.40546417236322,6,0,233.59453582763678
-128.22161483764646,1,0,231.77838516235354
-166.62793350219724,7,3,218.37206649780276
-133.27223968505865,7,0,231.72776031494135
-140.32899475097656,4,1,234.67100524902344
-211.64959335327143,11,1,228.35040664672857
-169.1423454284668,11,2,230.8576545715332
-188.3464927673341,14,1,226.6535072326659
-120.11331558227542,4,0,244.88668441772458
-163.812557220459,9,0,226.187442779541
-172.40599822998047,7,0,222.59400177001953
-144.93902969360352,13,0,225.06097030639648
-137.77249526977548,5,0,242.22750473022452
-192.90134048461914,12,0,227.09865951538086
-152.75084304809576,5,2,232.24915695190424
-147.19346237182623,4,1,232.80653762817377
-161.07559204101565,6,2,228.92440795898435
-118.51243591308588,3,1,231.48756408691412
-150.5647163391113,3,0,214.4352836608887
-128.54584503173822,4,1,231.45415496826178
-149.38430023193357,8,0,225.61569976806643
-117.81819152832031,3,0,237.1818084716797
-143.3729133605957,14,0,231.6270866394043
-196.41998291015628,13,1,223.58001708984372
-167.10890197753906,7,1,227.89109802246094
-260.3183937072754,13,1,219.6816062927246
-217.4611434936524,8,1,217.5388565063476
-101.81747055053711,0,1,228.1825294494629
-116.85944747924808,2,0,228.14055252075192
-150.07633209228524,8,2,219.92366790771476
-179.47701263427734,7,2,225.52298736572266
-153.3192520141602,6,0,241.6807479858398
-220.39035797119135,16,0,219.60964202880865
-171.01315689086914,14,0,223.98684310913086
-174.71325302124023,11,0,225.28674697875977
-189.76763916015628,6,0,230.23236083984372
-106.64269638061526,5,0,228.35730361938474
-157.94976806640634,10,0,237.05023193359366
-149.0205001831055,6,0,230.9794998168945
-176.07838439941406,12,0,218.92161560058594
-146.00377273559576,5,0,238.99622726440424
-182.15311813354487,8,0,217.84688186645513
-132.13019561767578,4,0,222.86980438232422
-167.15516281127933,9,0,217.84483718872067
-168.578742980957,19,0,226.421257019043
-132.8515357971191,4,0,222.1484642028809
-101.79219055175781,1,1,228.2078094482422
-161.06292343139648,7,0,228.93707656860352
-176.41786193847656,12,1,223.58213806152344
-100.21957015991214,3,1,224.78042984008786
-140.1523780822754,2,1,234.8476219177246
-133.3769493103027,10,0,241.6230506896973
-219.3689956665039,7,1,210.6310043334961
-152.1860313415528,9,0,222.8139686584472
-122.24406051635742,8,0,242.75593948364258
-209.24947738647464,15,1,220.75052261352536
-137.7252273559571,2,0,232.2747726440429
-165.88542938232425,13,0,224.11457061767575
-150.9345054626465,2,1,224.0654945373535
-153.04487228393558,2,2,221.95512771606442
-88.59870910644534,3,0,236.40129089355466
-131.86824798583984,1,2,218.13175201416016
-142.0138053894043,1,0,212.9861946105957
-106.27823257446289,2,3,238.7217674255371
-186.5681381225586,8,0,228.4318618774414
-87.73120880126956,2,1,242.26879119873044
-110.56205749511724,4,2,239.43794250488276
-163.04653167724607,4,4,216.95346832275393
-123.28113555908203,1,0,221.71886444091797
-161.38079833984378,10,1,233.61920166015622
-84.16634750366217,3,0,240.83365249633783
-141.78535461425778,3,2,218.21464538574222
-146.97946166992185,2,2,218.02053833007815
-135.5999412536621,0,4,219.4000587463379
-182.1100082397461,9,0,232.8899917602539
-117.42187118530276,9,0,237.57812881469724
-157.26635742187503,8,1,222.73364257812497
-114.6335716247558,2,0,240.3664283752442
-195.24768447875977,19,0,224.75231552124023
-102.7196350097656,3,2,237.2803649902344
-190.8066902160645,12,2,214.1933097839355
-166.23179244995117,0,3,218.76820755004883
-109.64657592773435,1,0,220.35342407226565
-174.2976036071778,3,3,225.7023963928222
-146.4097557067871,1,3,223.5902442932129
-99.53315353393555,0,2,225.46684646606445
-144.27119064331055,4,1,225.72880935668945
-121.26226425170901,5,0,223.737735748291
-124.11612319946286,0,0,230.88387680053714
-170.5367126464844,12,2,244.4632873535156
-162.22881317138678,7,4,222.77118682861322
-141.28156280517572,9,0,243.71843719482428
-134.71688842773432,4,0,230.28311157226568
-153.2178382873535,8,1,231.7821617126465
-117.62848281860357,3,1,232.37151718139643
-147.7152976989746,5,3,227.2847023010254
-157.9678916931152,7,0,232.0321083068848
-99.95367431640628,4,0,230.04632568359372
-168.9187126159668,3,2,221.0812873840332
-136.01971054077148,3,1,213.98028945922852
-150.73792266845703,2,0,219.26207733154297
-143.99511337280273,0,1,221.00488662719727
-97.00010299682617,1,0,227.99989700317383
-156.6217498779297,0,1,213.3782501220703
-140.2868309020996,1,4,214.7131690979004
-158.75502395629883,0,2,216.24497604370117
-131.5814971923828,0,1,218.4185028076172
-98.09717941284174,2,2,226.90282058715826
-110.284912109375,0,1,214.715087890625
-96.3329849243164,0,0,213.6670150756836
-118.83477783203125,1,0,221.16522216796875
