Reward,No cash trade,No stock trade,Net worth end game
-213.1063270568847,4,7,211.8936729431153
-183.27040863037112,9,2,221.72959136962888
-295.3379211425781,4,5,219.66207885742188
-247.06382751464844,5,3,217.93617248535156
-221.1206703186034,7,11,238.8793296813966
-238.7679557800293,8,5,216.2320442199707
-226.63412094116208,8,1,213.36587905883792
-215.0764465332031,4,2,219.9235534667969
-194.64699172973633,5,3,210.35300827026367
-240.22364807128903,0,3,204.77635192871097
-257.44389724731445,2,5,212.55610275268555
-233.09761047363284,11,2,216.90238952636716
-215.1750030517578,4,2,219.8249969482422
-211.81064605712893,4,2,228.18935394287107
-212.63722610473633,6,2,217.36277389526367
-186.73211288452146,2,2,238.26788711547854
-267.3057746887207,6,2,217.69422531127933
-273.89066314697266,6,6,211.10933685302734
-271.0896911621094,15,2,213.9103088378906
-183.1799468994141,3,2,221.8200531005859
-271.91275787353516,9,1,223.08724212646484
-275.18473052978516,7,4,219.81526947021482
-188.87318801879883,5,0,216.12681198120117
-221.20480346679688,4,1,218.79519653320312
-193.4990463256836,2,1,216.5009536743164
-181.2561798095703,4,4,208.7438201904297
-211.83274841308594,3,0,223.16725158691406
-254.34959411621094,4,3,210.65040588378906
-233.8636016845703,5,3,216.1363983154297
-265.25264739990234,12,2,224.74735260009766
-216.3465232849121,9,4,243.6534767150879
-182.82887649536133,9,1,222.17112350463867
-247.32178878784168,5,0,217.67821121215832
-199.5428733825684,2,2,220.4571266174316
-213.88372421264648,8,2,206.11627578735352
-227.48407745361328,3,2,222.51592254638672
-237.73661804199222,13,0,242.26338195800778
-197.757713317871,9,1,217.242286682129
-271.408634185791,8,3,213.59136581420898
-192.31003570556643,8,0,222.68996429443357
-160.53776931762695,6,2,214.46223068237305
-223.35948562622065,7,0,216.64051437377935
-218.76898956298828,10,1,216.23101043701172
-250.42636108398438,9,6,214.57363891601562
-220.20542144775393,6,0,219.79457855224607
-276.92177963256825,10,0,218.07822036743167
-247.60934066772464,11,3,217.39065933227536
-260.0837593078613,5,1,219.91624069213867
-246.02860260009766,1,1,208.97139739990234
-187.17166900634766,8,0,227.82833099365234
-222.125373840332,13,1,217.874626159668
-260.1323966979981,10,2,229.8676033020019
-217.8189315795898,9,1,217.1810684204102
-212.60139083862305,3,0,222.39860916137695
