Reward,No cash trade,No stock trade,Net worth end game
-273.54264068603516,4,6,201.45735931396484
-294.77325820922846,2,4,210.22674179077148
-265.3237991333008,6,8,209.67620086669922
-203.58579635620114,1,5,201.41420364379886
-259.45895767211914,2,0,220.54104232788086
-199.20175170898435,8,2,210.79824829101565
-261.84410858154297,8,1,218.15589141845706
-318.8653259277345,12,6,206.13467407226562
-216.76871490478516,3,2,228.23128509521484
-253.36368560791016,5,8,201.63631439208984
-219.67333221435547,4,1,225.32666778564453
-174.00062942504886,1,4,225.99937057495114
-227.38559341430664,4,4,227.61440658569336
-218.88291168212896,9,0,231.11708831787104
-244.63692092895508,10,4,210.36307907104492
-202.90761566162107,4,3,227.09238433837893
-204.31833267211917,3,3,220.68166732788083
-227.4382209777832,3,3,207.5617790222168
-207.170166015625,1,0,217.829833984375
-213.95286178588864,5,3,206.04713821411136
-257.13177490234386,3,4,207.8682250976562
-202.34094238281247,0,5,212.65905761718753
-192.89850997924805,12,0,232.10149002075195
-240.15942382812494,5,1,214.84057617187506
-221.68748092651367,5,5,223.31251907348633
-246.44315338134766,4,2,218.55684661865234
-292.12327575683594,8,3,212.87672424316406
-193.32194137573245,0,0,211.67805862426755
-248.19765090942383,3,4,211.80234909057617
-248.9312400817871,2,5,216.0687599182129
-217.28858947753912,8,2,217.71141052246088
-190.01912307739252,5,0,204.98087692260748
-226.6653251647949,5,2,208.3346748352051
-124.19643783569336,1,3,220.80356216430664
-178.06070709228516,1,0,216.93929290771484
-330.62812423706055,11,4,214.37187576293948
-182.8788719177246,0,4,222.1211280822754
-207.46839141845703,4,2,222.53160858154297
-228.57910919189453,5,3,211.42089080810547
-237.79065322875974,5,2,217.20934677124026
-260.22702407836914,8,0,214.77297592163083
-288.60388946533203,8,1,216.3961105346679
-241.07258605957026,7,3,213.92741394042974
-246.43010330200195,6,2,213.56989669799805
-270.34230041503895,12,1,219.657699584961
-229.86975860595706,7,1,220.13024139404294
-243.88849258422852,0,4,231.11150741577148
-211.21100997924802,6,2,213.78899002075198
-208.85143661499023,4,5,226.14856338500977
-229.72270965576172,7,1,210.27729034423828
-236.82769775390625,7,2,213.17230224609375
-219.09491348266602,3,0,220.90508651733398
-238.50128936767578,4,2,216.49871063232422
-209.9022560119629,8,2,220.0977439880371
-210.4984474182129,8,1,234.5015525817871
-155.54035568237302,8,0,224.45964431762698
-172.7079048156738,4,1,217.2920951843262
-184.69385147094727,6,1,215.30614852905273
-185.785816192627,2,1,214.214183807373
-217.02981185913086,4,1,217.97018814086914
-233.9967079162598,5,1,216.0032920837402
-239.09268188476562,2,3,225.90731811523438
-203.8260383605957,1,5,221.1739616394043
-207.99877166748044,3,0,227.00122833251956
-198.6107597351074,3,1,226.3892402648926
-228.5922088623047,7,0,226.4077911376953
-225.21133041381833,7,0,219.78866958618167
-170.3762664794922,12,0,224.6237335205078
-209.8504180908203,8,2,220.1495819091797
-255.77611541748047,12,5,224.22388458251947
-239.68329238891602,9,0,220.31670761108398
-194.99028396606448,6,3,220.00971603393552
-304.1727828979492,18,3,225.82721710205078
-244.92691802978516,7,2,220.07308197021484
-243.1353302001953,7,2,216.8646697998047
-189.49971771240234,4,2,220.50028228759766
-257.9214859008789,7,0,212.0785140991211
-201.94844436645508,6,0,213.05155563354492
-208.6302375793457,0,2,216.3697624206543
-179.92717361450195,1,3,210.07282638549805
-177.6828269958496,3,0,217.3171730041504
-251.62022781372067,9,2,223.37977218627933
-272.5284881591797,9,1,217.47151184082034
-267.1692085266113,7,0,222.8307914733887
-242.2430419921875,8,5,207.7569580078125
-223.43720245361328,2,1,211.56279754638672
-228.6363258361816,14,1,226.3636741638184
-210.1416358947754,3,4,219.8583641052246
-208.97630310058594,5,0,226.02369689941406
-232.9010429382324,17,0,222.0989570617676
-227.7822074890137,9,1,227.2177925109863
-244.73696136474607,6,0,225.26303863525393
-199.77412033081055,10,2,220.22587966918945
-274.83544158935547,18,0,225.1645584106445
-214.41802597045893,7,1,215.58197402954107
-185.74676513671878,11,0,224.25323486328122
-201.53714370727536,10,1,213.46285629272464
-282.3617973327637,6,1,212.63820266723633
-183.1054954528809,4,1,226.8945045471191
-227.21435165405268,10,2,222.78564834594732
-190.53063201904297,2,2,214.46936798095703
-142.70402526855466,4,3,222.29597473144534
-194.68073654174805,3,2,205.31926345825195
-210.57447814941406,7,2,224.42552185058594
-218.15296173095706,5,3,216.84703826904294
-207.6950454711914,8,3,217.3049545288086
-212.8951911926269,6,2,227.1048088073731
-193.03470993041992,10,0,216.96529006958008
-188.21889877319336,5,2,226.78110122680664
-183.80427169799805,5,0,226.19572830200195
-229.6553764343262,13,2,215.3446235656738
-178.32220458984375,7,0,221.67779541015625
-184.70600128173828,1,5,210.29399871826172
-258.6767883300782,13,0,221.32321166992182
-214.1288795471192,9,1,215.8711204528808
-159.0182609558105,2,0,210.9817390441895
-157.55323028564456,4,2,222.44676971435544
-213.0046157836914,5,1,211.9953842163086
-176.76016235351562,2,0,223.23983764648438
-245.17010498046878,13,0,224.82989501953122
-193.35832214355472,4,0,221.64167785644528
-209.3701591491699,1,6,225.6298408508301
-177.18278884887695,3,1,232.81721115112305
-276.76203536987316,6,2,218.2379646301269
-222.019474029541,5,2,217.980525970459
-140.14614486694342,6,0,219.85385513305658
-221.48807144165042,6,3,243.51192855834958
-239.95822906494132,10,1,215.04177093505868
-290.9651527404785,16,0,219.0348472595215
-270.2600212097168,16,2,224.7399787902832
-246.00025558471677,7,0,223.99974441528323
-242.0626678466797,13,5,222.9373321533203
-263.93040466308594,14,1,221.06959533691406
-243.06596374511722,13,0,221.93403625488278
-226.42382812499994,9,0,223.57617187500006
-239.98548889160153,9,3,220.01451110839847
-185.14691543579102,5,1,224.85308456420898
-227.2321319580078,5,1,227.7678680419922
-212.67752075195312,8,1,217.32247924804688
-215.93316650390625,7,2,214.06683349609375
-206.62310409545896,4,1,228.37689590454104
-232.59266662597653,4,2,207.40733337402347
-217.35066986083987,9,0,222.64933013916013
-204.22081756591794,9,0,235.77918243408206
-242.31592178344727,9,3,207.68407821655273
-173.2866477966308,6,0,211.7133522033692
-203.73993301391604,8,1,231.26006698608396
-171.17084884643555,3,1,233.82915115356445
-219.52179336547854,12,0,220.47820663452146
-221.27508163452148,9,1,223.72491836547852
-183.5439720153809,9,1,226.4560279846191
-195.46294784545893,9,1,219.53705215454107
-207.0386505126953,7,2,227.9613494873047
-244.33488845825198,14,0,225.66511154174802
-178.77413177490232,4,0,226.22586822509768
-135.11098480224615,7,0,239.88901519775385
-197.07794570922852,8,1,222.92205429077148
-257.6980628967285,13,0,222.30193710327148
-215.43070220947268,10,1,224.56929779052732
-170.56968688964844,1,2,219.43031311035156
-205.4278907775879,1,1,219.5721092224121
