Reward,No cash trade,No stock trade,Net worth end game
-1185.22359085083,7,230,209.77640914916992
-1255.0,0,251,200.0
-1255.0,0,251,200.0
-1255.0,0,144,200.0
-1255.0,0,59,200.0
-1255.0,0,0,200.0
-1255.0,0,0,200.0
-1255.0,0,0,200.0
-1255.0,0,0,200.0
-1255.0,0,43,200.0
-1223.207130432129,0,4,206.7928695678711
-1082.6622047424316,30,183,212.33779525756836
-1255.0,0,244,200.0
-1255.0,0,227,200.0
-1255.0,0,129,200.0
-1255.0,0,0,200.0
-1255.0,0,0,200.0
-1255.0,0,0,200.0
-1255.0,0,52,200.0
-1255.0,0,180,200.0
-1255.0,0,192,200.0
-1255.0,0,187,200.0
-1255.0,0,190,200.0
-1255.0,0,53,200.0
-1255.0,0,186,200.0
-1255.0,0,190,200.0
-1255.0,0,150,200.0
-1255.0,0,34,200.0
-1255.0,0,104,200.0
-1255.0,0,107,200.0
-1255.0,0,82,200.0
-1255.0,0,102,200.0
-1228.938835144043,0,59,201.06116485595703
-1058.3059921264648,30,166,206.69400787353518
-1105.076416015625,30,0,224.923583984375
-1200.3163375854492,20,0,229.68366241455078
-1199.9555358886719,232,0,230.04446411132812
-1200.3163375854492,242,0,229.68366241455078
-1189.8566131591797,244,0,230.1433868408203
-1200.3163375854492,246,0,229.68366241455078
-1190.2744598388672,244,0,229.7255401611328
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1180.1138801574707,242,0,229.8861198425293
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,207,0,229.68366241455078
-1200.3163375854492,244,0,229.68366241455078
-1200.3163375854492,193,0,229.68366241455078
-1200.3163375854492,187,0,229.68366241455078
-1200.3163375854492,152,0,229.68366241455078
-1200.3163375854492,205,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,241,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,246,0,229.68366241455078
-1200.3163375854492,227,0,229.68366241455078
-1200.3163375854492,168,0,229.68366241455078
-1200.3163375854492,131,0,229.68366241455078
-1205.9850959777832,126,0,224.0149040222168
-1200.3163375854492,136,0,229.68366241455078
-1200.3163375854492,125,0,229.68366241455078
-1200.3163375854492,70,0,229.68366241455078
-1207.5393257141113,101,0,222.46067428588867
-1200.3163375854492,113,0,229.68366241455078
-1200.3163375854492,95,0,229.68366241455078
