Reward,No cash trade,No stock trade,Net worth end game
-400.75566482543934,5,30,199.2443351745606
-231.33151245117188,12,5,228.66848754882812
-204.8558349609375,3,0,220.1441650390625
-165.34294891357422,7,1,224.65705108642578
-204.0448341369629,0,0,215.9551658630371
-205.43976211547852,4,3,214.56023788452148
-201.15075302124023,2,2,213.84924697875977
-217.7761116027832,5,3,212.2238883972168
-197.22332763671875,5,0,217.77667236328125
-233.49001693725583,2,4,216.50998306274417
-138.98537063598633,3,1,226.01462936401367
-222.26008224487305,6,2,217.73991775512695
-218.67832183837896,4,3,216.32167816162104
-197.32267379760742,5,2,222.67732620239258
-287.0275535583496,8,4,207.9724464416504
-215.13692474365234,9,1,219.86307525634766
-204.07762527465823,2,0,210.92237472534177
-241.48579406738284,4,3,218.51420593261716
-180.82208251953125,8,0,219.17791748046875
-196.0891456604004,3,0,213.9108543395996
-251.97829055786138,4,2,208.02170944213862
-231.43495178222656,7,1,213.56504821777344
-153.69410705566412,4,1,216.30589294433588
-187.1369514465332,5,1,217.8630485534668
-201.27098083496094,0,7,208.72901916503906
-204.68938446044922,0,1,220.31061553955078
-246.54047393798828,1,3,218.45952606201172
-189.45765304565433,3,1,210.54234695434567
-206.68860244750977,2,1,213.31139755249023
-255.22055053710938,2,4,214.77944946289062
-281.57509994506836,4,4,208.42490005493164
-180.42097091674805,4,0,219.57902908325195
-184.32683563232422,0,2,220.67316436767578
-219.27966690063477,7,0,215.72033309936523
-205.63475036621094,5,0,219.36524963378906
-163.10359954833984,1,1,236.89640045166016
-229.49842453002933,4,1,215.50157546997067
-242.1978416442871,6,1,217.8021583557129
-228.67676925659174,6,2,231.32323074340826
-260.8585433959961,5,2,224.1414566040039
-170.6655387878418,8,2,214.3344612121582
-252.0583992004395,6,2,212.9416007995605
-229.61333847045893,8,2,225.38666152954107
-175.4905090332031,9,1,224.5094909667969
-264.5697135925293,9,1,225.4302864074707
-240.92466354370106,5,3,209.07533645629894
-241.6225700378418,13,0,218.3774299621582
-213.10073471069336,5,0,211.89926528930664
-173.43524169921875,2,1,211.56475830078125
-214.41791915893555,8,0,225.58208084106445
-165.10522460937497,12,0,229.89477539062503
-214.7518920898438,9,0,215.2481079101562
-231.54061508178705,14,0,213.45938491821295
-147.0303726196289,6,0,217.9696273803711
-203.65204620361328,1,1,216.34795379638672
-221.6313438415527,8,0,218.3686561584473
-248.4806442260742,10,3,221.5193557739258
-203.04010009765625,6,1,211.95989990234375
-234.39249801635748,10,0,225.60750198364252
-223.61514282226557,1,1,211.38485717773443
-217.2458572387696,8,3,207.7541427612304
-242.23297882080078,13,1,222.76702117919922
-228.93246078491214,11,2,231.06753921508786
-147.94683456420898,2,1,212.05316543579102
-261.7097930908203,8,0,228.29020690917972
-211.0197143554688,3,2,223.9802856445312
-210.15242385864258,6,6,219.84757614135742
-218.0149345397949,7,0,221.9850654602051
-186.822265625,9,0,218.177734375
-214.39845657348633,15,0,230.60154342651367
-258.81604766845703,10,1,231.18395233154294
-189.78701019287104,6,0,215.21298980712896
-217.28752899169922,7,0,222.71247100830078
-210.97263717651367,7,1,229.02736282348633
-181.77460098266607,7,2,228.22539901733393
-254.073974609375,11,2,210.926025390625
-243.27177047729492,9,1,231.72822952270508
-225.9733123779297,5,1,219.0266876220703
-109.57411575317383,1,1,230.42588424682617
-247.46183776855463,13,0,222.53816223144537
-199.34344482421878,10,0,225.65655517578122
-242.20073699951175,10,0,227.79926300048825
-207.67902755737313,10,0,232.32097244262687
-222.14395904541018,3,0,202.85604095458982
-219.46308135986334,4,1,215.53691864013666
-230.8853530883789,5,2,219.1146469116211
-204.08421325683594,5,1,215.91578674316406
-210.72642135620123,2,2,224.27357864379877
-206.34453582763672,8,0,218.65546417236328
-215.9584007263184,8,1,234.0415992736816
-182.29639053344727,3,0,232.70360946655273
-211.7947006225586,1,0,208.2052993774414
-193.8191261291504,6,0,221.1808738708496
-163.21356582641602,1,0,226.78643417358398
-180.93257522583005,7,1,229.06742477416995
-166.05317687988278,6,1,223.94682312011722
-180.36042404174802,4,1,224.63957595825198
-219.48621368408203,7,0,215.51378631591797
-154.8958549499512,0,0,215.1041450500488
-200.08618164062509,9,2,229.91381835937491
-207.04970169067377,12,0,217.95029830932623
-195.05621337890625,6,0,219.94378662109375
-163.6370391845703,5,0,221.3629608154297
-244.92134094238287,11,2,220.07865905761713
-241.59860610961914,10,0,228.40139389038086
-207.34280014038083,4,2,222.65719985961917
-224.69241333007818,1,1,215.30758666992182
-225.22470092773432,10,0,219.77529907226568
-235.71960449218747,9,0,214.28039550781253
-262.1085548400879,11,0,232.8914451599121
-210.36434173583984,6,0,214.63565826416016
-265.61465072631836,11,1,219.38534927368164
-240.03160095214838,11,0,229.96839904785162
-176.9795150756836,7,0,223.0204849243164
-276.5861167907715,16,1,228.41388320922854
-170.3791275024414,12,2,229.6208724975586
-203.22587203979487,7,1,221.77412796020513
-220.02780532836914,4,0,214.97219467163086
-166.93248748779294,3,0,228.06751251220706
-193.92152404785156,4,1,231.07847595214844
-206.74627685546875,6,2,228.25372314453125
-208.01072692871094,10,0,231.98927307128906
-174.88535308837888,6,1,225.11464691162112
-278.9969596862793,12,2,216.00304031372076
-187.78447723388672,9,2,212.21552276611328
-217.7833938598632,11,0,232.2166061401368
-156.14505767822268,5,2,218.85494232177732
-212.84913253784174,9,1,222.15086746215826
-177.77739715576175,4,1,217.22260284423825
-159.49061965942383,1,0,205.50938034057617
-211.91426467895505,7,4,213.08573532104495
-121.03136825561523,1,0,218.96863174438477
-185.01918029785153,7,1,219.98081970214847
-156.33524322509766,1,0,213.66475677490234
-170.4283332824707,1,1,224.5716667175293
-183.0383758544922,4,1,221.9616241455078
-180.8345909118653,1,0,214.1654090881347
-183.08808135986328,2,1,211.91191864013672
-150.55531311035156,2,0,219.44468688964844
-162.91656875610352,0,0,212.08343124389648
-190.57058334350586,2,0,214.42941665649414
-222.4849090576172,8,1,222.5150909423828
-175.5261573791504,0,2,209.4738426208496
-158.90199661254883,1,0,221.09800338745117
-158.54143905639648,3,0,216.45856094360352
-129.0440254211426,6,0,220.9559745788574
-184.65637588500982,1,1,215.34362411499018
-192.91738510131836,4,2,217.08261489868164
-174.1143035888672,8,1,215.8856964111328
-186.2828903198242,5,0,233.7171096801758
-172.50322341918942,7,1,222.49677658081058
-196.03392791748047,1,1,208.96607208251953
-179.89192581176755,3,0,225.10807418823245
-195.75362396240232,11,0,229.24637603759768
-153.89343643188482,1,0,221.10656356811518
-205.32902526855472,11,1,229.67097473144528
-190.45427703857422,11,0,229.54572296142578
-212.76046371459958,13,0,227.23953628540042
-223.73101043701175,8,0,226.26898956298825
-232.83462142944336,8,4,222.16537857055664
-201.62685394287104,12,1,223.37314605712896
-220.93975830078125,14,0,229.06024169921875
-169.17710494995117,8,0,230.82289505004883
-206.44202423095703,6,0,213.55797576904297
-200.83984375000003,9,0,234.16015624999997
-161.3992424011231,5,0,218.6007575988769
-231.14909744262692,5,0,213.85090255737308
-203.92792510986328,2,1,221.07207489013672
-227.6781768798828,7,0,217.3218231201172
-191.5858192443848,4,0,213.4141807556152
-166.51886367797852,2,0,218.48113632202148
-193.0362548828125,5,1,216.9637451171875
-221.40065383911133,4,1,223.59934616088867
-191.6631736755371,0,1,213.3368263244629
-142.29403686523438,0,0,222.70596313476562
-135.97577285766602,2,2,214.02422714233398
-167.1190147399902,5,0,222.8809852600098
-199.49583816528317,2,1,215.50416183471683
-190.01128387451178,11,2,214.98871612548822
-219.09944534301763,2,1,215.90055465698237
-148.09751510620114,6,0,236.90248489379886
-166.77919387817383,0,2,218.22080612182617
-128.3704452514649,6,1,221.6295547485351
-146.3124198913574,10,0,218.6875801086426
-146.179141998291,2,2,223.820858001709
-164.3985176086426,2,1,215.6014823913574
-211.16957092285156,5,0,228.83042907714844
-178.97195053100583,6,0,226.02804946899417
-140.50278472900388,3,0,219.49721527099612
-193.82756423950195,7,0,226.17243576049805
-217.99087524414068,9,1,222.00912475585932
-184.0728797912597,6,0,225.9271202087403
-234.60140991210938,12,1,225.39859008789062
-155.10943603515625,3,2,219.89056396484375
-182.79740524291992,10,0,222.20259475708008
-189.909553527832,7,3,210.090446472168
-204.78409576416016,2,2,215.21590423583984
-194.29006958007812,5,1,225.70993041992188
-173.36199951171872,10,0,221.63800048828128
-142.8396759033203,2,1,237.1603240966797
-151.63356399536124,3,0,218.36643600463876
-202.19226837158206,10,1,227.80773162841794
-166.30081939697266,5,1,213.69918060302734
-143.3337440490723,6,0,216.6662559509277
-171.65288543701172,1,0,213.34711456298828
-274.9092216491699,9,0,215.09077835083008
-170.15754318237305,2,1,214.84245681762695
-147.65645599365234,6,0,217.34354400634766
-155.75755310058597,0,2,214.24244689941403
-192.97420120239258,2,1,222.02579879760742
-112.04336166381836,2,0,227.95663833618164
-212.24426651000977,6,0,217.75573348999023
-169.39611816406247,9,0,230.60388183593753
-215.69202423095703,5,0,219.30797576904297
-131.02220535278317,4,0,228.97779464721683
-153.5124320983887,15,1,231.4875679016113
-253.83150863647464,18,1,226.16849136352536
-314.8525848388672,10,0,220.14741516113278
-203.26083755493164,7,2,226.73916244506836
-207.2103042602539,18,0,227.7896957397461
-148.61158370971683,7,0,231.38841629028317
-158.7958869934082,7,0,221.2041130065918
-233.5640411376953,14,1,226.4359588623047
-208.19086837768555,9,1,216.80913162231445
-128.42337036132818,4,1,236.57662963867182
-188.5847663879395,9,0,221.4152336120605
-184.93648147583008,7,0,225.06351852416992
-247.25645446777344,10,0,217.74354553222656
-188.3930892944336,2,2,216.6069107055664
-164.9292602539062,6,3,215.0707397460938
-228.66077423095703,13,0,216.33922576904297
-165.7902793884277,3,0,224.2097206115723
-160.1409912109375,1,1,224.8590087890625
-149.26619720458984,1,0,225.73380279541016
-142.53612518310547,5,1,217.46387481689453
-197.92273712158203,9,0,227.07726287841797
-197.81571197509766,6,2,222.18428802490234
-159.12984085083008,2,0,220.87015914916992
-165.55533599853516,3,2,234.44466400146484
-171.5242576599121,7,0,233.4757423400879
-234.6463966369629,7,2,215.3536033630371
-158.9498748779297,2,0,226.0501251220703
-153.21129989624023,3,0,221.78870010375977
-196.0805702209472,4,0,213.9194297790528
-234.1787834167481,14,0,220.8212165832519
-175.8193855285644,1,1,214.1806144714356
-200.25746536254883,14,1,229.74253463745117
-131.446102142334,0,0,218.553897857666
-164.6018829345703,0,2,205.3981170654297
-238.89741516113276,9,1,226.10258483886724
-212.16314697265625,11,0,222.83685302734375
-177.3138656616211,0,3,202.6861343383789
-242.22169876098636,8,0,222.77830123901364
-138.7427101135254,0,1,226.2572898864746
-114.03777313232425,0,3,225.96222686767575
-175.76105499267584,4,4,219.23894500732416
-221.66781616210943,13,2,223.33218383789057
-160.80874633789068,13,1,229.19125366210932
-143.8819236755371,2,0,221.1180763244629
-121.20513916015625,2,1,213.79486083984375
-165.2420616149902,7,0,224.7579383850098
-174.2715377807617,3,1,220.7284622192383
-129.84166717529297,2,0,220.15833282470703
-144.08562469482422,7,0,220.91437530517578
-166.62298583984375,2,0,218.37701416015625
-111.17739486694336,1,0,223.82260513305664
-157.22783660888672,4,0,217.77216339111328
-164.9712142944336,12,0,230.0287857055664
-173.74161529541018,4,0,231.25838470458982
